0,316L,316L,2023-11-13
1,316L,EOS,2020-02-07
2,316L,Kennametal,2020-11-05
3,A1000,Elementum 3D,2021-06-29
4,A1000 - RAM0.5,Elementum 3D,2023-10-12
5,A1000 - RAM10,Elementum 3D,2023-10-18
6,A1000 - RAM2,Elementum 3D,2023-10-16
7,Al-20Sn,Elementum 3D,2021-09-27
8,AlSi10Mg,Carpenter,2022-06-27
